repo_name,sha_ids
cyanogenmod/android_frameworks_base,3f3913550c10792edb8aecf66cc83c3db5c8b311;7bdb096289d10983f6fe711ecd598e350c9a9587;7c12eee6439435d7f29d49cab76edaedbd809460;8068618ebed021c445db0919843cdb6b9b9e35b5;f83464ed0a1c9215f4100fa018061710ed722ef5;ed7e00729f78d11107f0e9a7f0559dfe4be6b560
jclouds/jclouds,c967235ecd0897078a3363d86bb2da24b0daaca2
consulo/consulo,ce602d53a66e53a15047cf463cbb4167e2cf51a0;372b7db73fb19b30647b7308e0211eae2545b6b5;a6fd1fd8b9765c7e7b69dcceb72c7c317cb4d027;46f30bbeb589528b7d56dafc5bca047216ca3c1a
j-easy/easy-random,1114d653c4368fbb441a13dd3119c3a27ea69f1a;362be5100794b49590faf567bc5aac90de397985;95690ab038c779073b72e2f4b00c6c479967e77f;c4da487ee8ffd3af91cb43bc58c87a421883bfb9
scifio/scifio,80bb45a0919ae550f2fe65e8dc4f6066aa5ee953;b477bc4912441e3842776fc633fbaaeb2a085bb7;0e039b1f9e90a754f74289bad7f4790d8cbac499
stripesframework/stripes,5ffff5abe782ebe922455c22823ee21d34595c15;45b65c7545c4e22816123836f17d1e6c89271267
apache/logging-log4j2,e3c418d1cde1b10c2309f37da37ec5f062907334;cc51d56f5fab12c2f9ab1718efeec6f68b003183;f882b66ff39920a198a7d8dfa82fb1eef7fd5ec6;3d5e21dbc7062cac1f45c257335c6abcdd9f961a;906f5109f7b27ed1b5403297c29e3a5296aa063d;551ae399a1cb468cc662d64bf38434a4fe781f08
codefollower/cassandra-research,9c5274b4cd0448af42cb3da8dc6d9a4422355a06
mozilla/mozstumbler,1d3bb0e23c19b9c7ab138613daaf71eda49a7aa2
captain-chaos/worldpainter,4b865862a394d2ce7e2dd7e381d857eeb438a79a
saros-project/saros,690dbaa1116b8d0edc68cba4ac573197a9d2551d
apache/commons-pool,9d92f15b4384333a6ac826ff83453e0aa0faf405
bumptech/glide,aab4fa3b0c3d9cc7677619dc504ef58bb4ea25fd
apache/commons-jexl,863d4dd2496c46c861be85baca508b3316f25fcf
apache/commons-ognl,b896b768d09dec29d82a1c1ecb1139cb190df0f3
apache/commons-imaging,728592d42cd4d1df607c925618a601e6ee2320b9;860ee5bc33a7a6f6a9b4839eac3742e0f81b0050
apache/commons-email,be4cb6f523ae20d015d21e39b2e7470776475c60
apache/commons-dbutils,0eb51d43e8d9b7b8ba9d83acf37fd79781a338d9
apache/commons-bcel,08a313c0b79865297952b6714eaaf9a316983b73;35f3d7860e5ce7fd6882e67f5778f9bdc2e036f2;4e5854135e71bbcc369e0c15a12db143272a4919;827c7864d73605af968aa8fc8fcc69b5486a8ca9;29d7a908fd37c6f40889c35eceef98f8d9195ca4;c419142ae7da2ee5907f961b132d42ab838fb3c3
