Name,FullName,URL,Stars,Commits
Android-ObservableScrollView,ksoichiro/Android-ObservableScrollView,https://github.com/ksoichiro/Android-ObservableScrollView,9639,13780
debezium,debezium/debezium,https://github.com/debezium/debezium,9621,47752
MagicIndicator,hackware1993/MagicIndicator,https://github.com/hackware1993/MagicIndicator,9615,54746
android-Ultra-Pull-To-Refresh,liaohuqiu/android-Ultra-Pull-To-Refresh,https://github.com/liaohuqiu/android-Ultra-Pull-To-Refresh,9594,3474
spark,perwendel/spark,https://github.com/perwendel/spark,9591,2503
JsBridge,lzyzsd/JsBridge,https://github.com/lzyzsd/JsBridge,9546,611
AndroidSlidingUpPanel,umano/AndroidSlidingUpPanel,https://github.com/umano/AndroidSlidingUpPanel,9477,2861
android-gif-drawable,koral--/android-gif-drawable,https://github.com/koral--/android-gif-drawable,9476,6025
DanmakuFlameMaster,bilibili/DanmakuFlameMaster,https://github.com/bilibili/DanmakuFlameMaster,9476,3580
kkFileView,kekingcn/kkFileView,https://github.com/kekingcn/kkFileView,9471,690711
spring-boot-api-project-seed,lihengming/spring-boot-api-project-seed,https://github.com/lihengming/spring-boot-api-project-seed,9469,77
Mycat-Server,MyCATApache/Mycat-Server,https://github.com/MyCATApache/Mycat-Server,9454,19570
PocketHub,pockethub/PocketHub,https://github.com/pockethub/PocketHub,9393,11945
CoreNLP,stanfordnlp/CoreNLP,https://github.com/stanfordnlp/CoreNLP,9352,382403
resilience4j,resilience4j/resilience4j,https://github.com/resilience4j/resilience4j,9291,8420
plantuml,plantuml/plantuml,https://github.com/plantuml/plantuml,9237,104792
trino,trinodb/trino,https://github.com/trinodb/trino,9212,232194
feign,OpenFeign/feign,https://github.com/OpenFeign/feign,9190,5798
cim,crossoverJie/cim,https://github.com/crossoverJie/cim,9090,32060
testing-samples,android/testing-samples,https://github.com/android/testing-samples,9072,11968
AgentWeb,Justson/AgentWeb,https://github.com/Justson/AgentWeb,9071,29032
AndroidNote,GcsSloop/AndroidNote,https://github.com/GcsSloop/AndroidNote,9036,7036
MaterialDesignLibrary,navasmdc/MaterialDesignLibrary,https://github.com/navasmdc/MaterialDesignLibrary,9008,8930
datahub,datahub-project/datahub,https://github.com/datahub-project/datahub,8959,3562538
VirtualAPK,didi/VirtualAPK,https://github.com/didi/VirtualAPK,8941,1010
CalendarView,huanghaibin-dev/CalendarView,https://github.com/huanghaibin-dev/CalendarView,8899,126397
storm,nathanmarz/storm,https://github.com/nathanmarz/storm,8854,27015
android-gpuimage,cats-oss/android-gpuimage,https://github.com/cats-oss/android-gpuimage,8846,1368
spider-flow,ssssssss-team/spider-flow,https://github.com/ssssssss-team/spider-flow,8844,3382
StatusBarUtil,laobie/StatusBarUtil,https://github.com/laobie/StatusBarUtil,8815,9364
Signal-Server,signalapp/Signal-Server,https://github.com/signalapp/Signal-Server,8737,12785
Android-PullToRefresh,chrisbanes/Android-PullToRefresh,https://github.com/chrisbanes/Android-PullToRefresh,8717,4286
quickstart-android,firebase/quickstart-android,https://github.com/firebase/quickstart-android,8673,32543
aws-doc-sdk-examples,awsdocs/aws-doc-sdk-examples,https://github.com/awsdocs/aws-doc-sdk-examples,8671,227318
awesome-java-leetcode,Blankj/awesome-java-leetcode,https://github.com/Blankj/awesome-java-leetcode,8646,512
Calligraphy,chrisjenx/Calligraphy,https://github.com/chrisjenx/Calligraphy,8588,1523
Jetpack-MVVM-Best-Practice,KunMinX/Jetpack-MVVM-Best-Practice,https://github.com/KunMinX/Jetpack-MVVM-Best-Practice,8573,10737
buck,facebook/buck,https://github.com/facebook/buck,8569,2024585
Android-SpinKit,ybq/Android-SpinKit,https://github.com/ybq/Android-SpinKit,8550,10241
zfile,zfile-dev/zfile,https://github.com/zfile-dev/zfile,8496,46364
junit4,junit-team/junit4,https://github.com/junit-team/junit4,8486,24310
JsonPath,json-path/JsonPath,https://github.com/json-path/JsonPath,8484,2689
SpringCloud,zhoutaoo/SpringCloud,https://github.com/zhoutaoo/SpringCloud,8445,10069
dropwizard,dropwizard/dropwizard,https://github.com/dropwizard/dropwizard,8442,110637
epoxy,airbnb/epoxy,https://github.com/airbnb/epoxy,8421,34091
cassandra,apache/cassandra,https://github.com/apache/cassandra,8420,425105
AndResGuard,shwenzhang/AndResGuard,https://github.com/shwenzhang/AndResGuard,8411,8343
BottomBar,roughike/BottomBar,https://github.com/roughike/BottomBar,8410,40819
sonarqube,SonarSource/sonarqube,https://github.com/SonarSource/sonarqube,8393,938445
EhViewer,seven332/EhViewer,https://github.com/seven332/EhViewer,8373,111228
Paper,PaperMC/Paper,https://github.com/PaperMC/Paper,8345,77586
Android-Debug-Database,amitshekhariitbhu/Android-Debug-Database,https://github.com/amitshekhariitbhu/Android-Debug-Database,8314,1636
cachecloud,sohutv/cachecloud,https://github.com/sohutv/cachecloud,8305,52937
react-native-image-picker,react-native-image-picker/react-native-image-picker,https://github.com/react-native-image-picker/react-native-image-picker,8304,2770
OpenSearch,opensearch-project/OpenSearch,https://github.com/opensearch-project/OpenSearch,8271,567219
spring-security,spring-projects/spring-security,https://github.com/spring-projects/spring-security,8247,75396
hsweb-framework,hs-web/hsweb-framework,https://github.com/hs-web/hsweb-framework,8234,33612
shenyu,apache/shenyu,https://github.com/apache/shenyu,8216,54224
jna,java-native-access/jna,https://github.com/java-native-access/jna,8180,679653
MaterialViewPager,florent37/MaterialViewPager,https://github.com/florent37/MaterialViewPager,8166,19557
atlas,alibaba/atlas,https://github.com/alibaba/atlas,8113,84497
lawnchair,LawnchairLauncher/lawnchair,https://github.com/LawnchairLauncher/lawnchair,8084,575459
LitePal,guolindev/LitePal,https://github.com/guolindev/LitePal,8050,5433
checkstyle,checkstyle/checkstyle,https://github.com/checkstyle/checkstyle,8046,143431
tsunami-security-scanner,google/tsunami-security-scanner,https://github.com/google/tsunami-security-scanner,8033,572
shardingsphere-elasticjob,apache/shardingsphere-elasticjob,https://github.com/apache/shardingsphere-elasticjob,8021,45860
kafka-ui,provectus/kafka-ui,https://github.com/provectus/kafka-ui,7966,30461
SimianArmy,Netflix/SimianArmy,https://github.com/Netflix/SimianArmy,7954,15326
otter,alibaba/otter,https://github.com/alibaba/otter,7912,12039
hugo,JakeWharton/hugo,https://github.com/JakeWharton/hugo,7910,201
AndroidPdfViewer,barteksc/AndroidPdfViewer,https://github.com/barteksc/AndroidPdfViewer,7901,2741
HomeMirror,HannahMitt/HomeMirror,https://github.com/HannahMitt/HomeMirror,7875,6207
metrics,dropwizard/metrics,https://github.com/dropwizard/metrics,7786,20002
UltimateAndroidReference,aritraroy/UltimateAndroidReference,https://github.com/aritraroy/UltimateAndroidReference,7784,543
jmeter,apache/jmeter,https://github.com/apache/jmeter,7751,133348
Hippy,Tencent/Hippy,https://github.com/Tencent/Hippy,7750,673904
subsampling-scale-image-view,davemorrissey/subsampling-scale-image-view,https://github.com/davemorrissey/subsampling-scale-image-view,7737,57935
RxLifecycle,trello/RxLifecycle,https://github.com/trello/RxLifecycle,7717,897
karate,karatelabs/karate,https://github.com/karatelabs/karate,7677,26100
flyway,flyway/flyway,https://github.com/flyway/flyway,7669,753576
litho,facebook/litho,https://github.com/facebook/litho,7633,736632
testcontainers-java,testcontainers/testcontainers-java,https://github.com/testcontainers/testcontainers-java,7607,11955
vjtools,vipshop/vjtools,https://github.com/vipshop/vjtools,7590,2108
im-server,wildfirechat/im-server,https://github.com/wildfirechat/im-server,7571,21030
RxJava-Android-Samples,kaushikgopal/RxJava-Android-Samples,https://github.com/kaushikgopal/RxJava-Android-Samples,7549,1188
MyBookshelf,gedoor/MyBookshelf,https://github.com/gedoor/MyBookshelf,7508,27255
AndroidAsync,koush/AndroidAsync,https://github.com/koush/AndroidAsync,7483,3720
MVVMHabit,goldze/MVVMHabit,https://github.com/goldze/MVVMHabit,7456,1298
XPopup,li-xiaojun/XPopup,https://github.com/li-xiaojun/XPopup,7449,152973
android-classyshark,google/android-classyshark,https://github.com/google/android-classyshark,7438,24865
hellocharts-android,lecho/hellocharts-android,https://github.com/lecho/hellocharts-android,7421,6126
beam,apache/beam,https://github.com/apache/beam,7383,606508
algs4,kevin-wayne/algs4,https://github.com/kevin-wayne/algs4,7358,2010
swagger-core,swagger-api/swagger-core,https://github.com/swagger-api/swagger-core,7320,19010
ShortcutBadger,leolin310148/ShortcutBadger,https://github.com/leolin310148/ShortcutBadger,7320,1231
dagger,square/dagger,https://github.com/square/dagger,7317,6861
